continent,location,population,human_development_index,extreme_poverty,male_smokers,female_smokers,population_density,Infected_Percentage_of_Population,Died_Percentage_of_Infected,count_of_deaths,count_of_infectetion,recovered_percentage
North America,United States,338289856,92.60,1.20,24.60,19.10,356.08,30.58,1.14,1180025,103436829,98.86
South America,Brazil,215313504,76.50,3.40,17.90,10.10,25.04,17.43,1.87,702116,37519960,98.13
Asia,India,1417173120,64.50,21.20,20.60,1.90,4504.19,3.18,1.18,533495,45030212,98.82
Europe,Russia,144713312,82.40,0.10,58.30,23.40,88.23,16.57,1.68,402232,23983621,98.32
North America,Mexico,127504120,77.90,2.50,21.40,6.90,664.44,6.04,4.35,334958,7702809,95.65
Europe,United Kingdom,67508936,93.20,0.20,24.70,20.00,2728.98,36.90,0.93,232112,24908726,99.07
South America,Peru,34049588,77.70,3.50,NULL,4.80,251.29,13.29,4.88,220831,4524748,95.12
Europe,Italy,59037472,89.20,2.00,27.80,19.80,2058.59,45.25,0.74,196706,26715575,99.26
Europe,Germany,83369840,94.70,NULL,33.10,28.20,2370.16,46.11,0.46,174979,38437756,99.54
Europe,France,67813000,90.10,NULL,35.60,30.10,1225.78,57.51,0.43,167985,38997490,99.57
Asia,Indonesia,275501344,71.80,5.70,76.10,2.80,1457.25,2.48,2.37,162059,6828808,97.63
Asia,Iran,88550568,78.30,0.20,21.10,0.80,498.31,8.61,1.92,146811,7627186,98.08
South America,Colombia,51874028,76.70,4.50,13.50,4.70,442.23,12.30,2.24,142727,6380026,97.76
South America,Argentina,45510324,84.50,0.60,27.70,16.20,161.77,22.17,1.29,130587,10090694,98.71
Asia,China,1425887360,76.10,0.70,48.40,1.90,1476.74,6.97,0.12,121993,99336751,99.88
Europe,Spain,47558632,90.40,1.00,31.40,27.40,931.05,29.40,0.87,121852,13980340,99.13
Europe,Poland,39857144,8.80,NULL,33.10,23.30,1240.27,16.71,1.81,120687,6660642,98.19
Europe,Ukraine,39701744,77.90,0.10,47.40,13.50,77.39,13.95,1.98,109918,5539542,98.02
Africa,South Africa,59893884,70.90,18.90,33.20,8.10,467.54,6.80,2.52,102595,4072636,97.48
Asia,Turkey,85341248,8.20,0.20,41.10,14.10,1049.14,19.93,0.60,101419,17004677,99.40
Asia,Japan,123951696,91.90,NULL,33.70,11.20,3477.78,27.27,0.22,74694,33803572,99.78
Europe,Romania,19659270,82.80,5.70,37.10,22.90,851.29,17.93,1.95,68701,3524829,98.05
Asia,Philippines,115559008,71.80,NULL,40.80,7.80,3518.73,3.64,1.59,66864,4205462,98.41
South America,Chile,19603736,85.10,1.30,41.50,34.20,242.82,27.19,1.22,65137,5329509,98.78
North America,Canada,38454328,92.90,0.50,16.60,12.00,40.37,12.43,1.14,54657,4780494,98.86
Europe,Hungary,9967304,85.40,0.50,34.80,26.80,1080.43,22.38,2.20,49046,2230202,97.80
Europe,Czechia,10493990,0.90,NULL,38.30,30.50,1371.76,45.34,0.91,43494,4758465,99.09
Asia,Vietnam,98186856,70.40,2.00,45.90,1.00,3081.27,11.84,0.37,43206,11624000,99.63
Europe,Greece,10384972,88.80,1.50,52.00,35.30,834.79,54.16,0.69,38945,5624522,99.31
Europe,Bulgaria,6781955,81.60,1.50,44.40,30.10,65.18,19.59,2.91,38691,1328885,97.09
Asia,Malaysia,33938216,8.10,0.10,42.40,1.00,962.54,15.54,0.71,37347,5274786,99.29
South America,Ecuador,18001002,75.90,3.60,12.30,2.00,669.39,5.94,3.37,36032,1069632,96.63
Asia,South Korea,51815808,91.60,0.20,40.90,6.20,5279.67,66.72,0.10,35934,34571873,99.90
Asia,Thailand,71697024,77.70,0.10,38.80,1.90,1351.32,6.65,0.73,34629,4767701,99.27
Europe,Belgium,11655923,93.10,0.20,31.40,25.10,3755.64,41.70,0.71,34339,4860053,99.29
Asia,Pakistan,235824864,55.70,4.00,36.70,2.80,2555.73,0.67,1.94,30656,1580631,98.06
Asia,Bangladesh,171186368,63.20,14.80,44.70,1.00,12650.36,1.20,1.44,29491,2048588,98.56
Africa,Tunisia,12356116,7.40,2.00,65.80,1.10,742.28,9.33,2.55,29423,1153361,97.45
Europe,Portugal,10270857,86.40,0.50,30.00,16.30,1123.71,54.94,0.50,28113,5642833,99.50
Europe,Sweden,10549349,94.50,0.50,18.90,18.80,247.18,26.08,0.99,27219,2751035,99.01
